8109c0a,Mathias Tollerud,3 minutes ago,Fixed snudd arrow
d4b2bbf,Mathias Tollerud,50 minutes ago,Added notification box
156cca2,Mathias Tollerud,59 minutes ago,typo
ef3596e,Mathias Tollerud,61 minutes ago,Example box with maskot
48dc168,Citona Marie Rygg,88 minutes ago,Changed colors of buttons
f949d24,Citona Marie Rygg,2 hours ago,Changed names of menu in transactions and removed something from fond
02b71c2,Citona Marie Rygg,3 hours ago,Removed a blue button
a1eed2d,sauenMalin,3 hours ago,Made chart and added a plus sign
476abeb,Citona Marie Rygg,3 hours ago,Changed size an background
450511c,Citona Marie Rygg,3 hours ago,Added plus sign image
7fbbf46,Mathias Tollerud,3 hours ago,Fixed some stuffs at this file hversågod
88230a6,Mathias Tollerud,4 hours ago,Showing only 3 accounts at index
03a83d1,Mathias Tollerud,5 hours ago,Fixed the title
0d0b920,Citona Marie Rygg,5 hours ago,Fixed headings on fond
7d8300d,Citona Marie Rygg,5 hours ago,Worked more on fond in savings
92ad2f9,Citona Marie Rygg,17 hours ago,Added fond to savings
25f020d,Citona Marie Rygg,17 hours ago,More work on savings
ef86c98,Citona Marie Rygg,22 hours ago,Started working on ny sparekonto
204aa20,sauenMalin,23 hours ago,added savings in the menu of planning and regularpayment
49f3add,Citona Marie Rygg,23 hours ago,Started on sparemål
bdcee7d,sauenMalin,24 hours ago,fixed collapsing boxen under saldo
fc15c45,Mathias Tollerud,24 hours ago,with love
a062853,Mathias Tollerud,25 hours ago,Merge branch 'master' of github.com:MathiasOki/Bankers
7086993,Mathias Tollerud,25 hours ago,added collapse
7c13e33,Citona Marie Rygg,25 hours ago,Merge branch 'master' of https://github.com/MathiasOki/Bankers
7f3e3c7,Citona Marie Rygg,25 hours ago,Worked more on oversikt
be775be,Mathias Tollerud,25 hours ago,mellomting
ff2e31c,Mathias Tollerud,25 hours ago,Merge branch 'master' of github.com:MathiasOki/Bankers
1f0b00a,Mathias Tollerud,25 hours ago,what
70f31ef,sauenMalin,25 hours ago,took away the pie chart from index
3222694,sauenMalin,25 hours ago,listened to Eva
f60ed9d,Citona Marie Rygg,25 hours ago,Added sparemal to oversikt
095d1a0,sauenMalin,25 hours ago,Fixed a couple issues in planning and redesigned index
89ffb23,Mathias Tollerud,25 hours ago,changes
f195f51,Citona Marie Rygg,25 hours ago,Tried to fix again and failed
f79a021,Citona Marie Rygg,25 hours ago,Tried to make meny under spare, but can't make it work......
5d9a274,Mathias Tollerud,26 hours ago,Merge branch 'master' of github.com:MathiasOki/Bankers
967a4b7,Mathias Tollerud,26 hours ago,Fixes
304b94d,sauenMalin,27 hours ago,Fixed budget and regular payment
0384c9d,sauenMalin,28 hours ago,Fixed budget
2f6c840,Mathias Tollerud,28 hours ago,Did some changes for CITONA
7b2048a,sauenMalin,28 hours ago,fixed some issues in index
9a8005f,Mathias Tollerud,28 hours ago,Removed some php
52593bd,Mathias Tollerud,28 hours ago,Fixed template
090629a,sauenMalin,28 hours ago,added contact.php to the sidebar
8c8c107,sauenMalin,28 hours ago,Fixed the last issues in regular payment
0136d17,sauenMalin,2 days ago,Made som changes to regular payment
2be4dc5,Mathias Tollerud,2 days ago,Fixed checkServer on all pages
230a6b0,sauenMalin,2 days ago,fixed a fault in index. started on regular payment and added the link in planning
efa8126,Mathias Tollerud,2 days ago,deleted some files
07fbbb9,Mathias Tollerud,2 days ago,Merge branch 'master' of github.com:MathiasOki/Bankers
e2e0f7b,Mathias Tollerud,2 days ago,Fixed checkServer
5014028,sauenMalin,2 days ago,Made some changes to planning and added regular payment
8ffd3b2,Mathias Tollerud,2 days ago,Merge branch 'master' of github.com:MathiasOki/Bankers
fbd33ef,Mathias Tollerud,2 days ago,Changes
9ca1087,sauenMalin,2 days ago,kinda finished with budget
a17ec52,Mathias Tollerud,2 days ago,Moved support icon to inc/navbar.php
ef2a48b,sauenMalin,2 days ago,fucking up budget planning
d8b4fc6,Mathias Tollerud,2 days ago,Some changes to sidebar and contact
67b8a1e,Mathias Tollerud,2 days ago,Bugfixes to transfer and payment. Added contact.php
a0ffcb8,Mathias Tollerud,2 days ago,Merge branch 'master' of github.com:MathiasOki/Bankers
54d1d6d,Mathias Tollerud,2 days ago,Stuff
e41126f,sauenMalin,2 days ago,Added planning page
6dcfffe,Mathias Tollerud,2 days ago,New transfer.php
c4df007,Mathias Tollerud,3 days ago,Alot of changes
f179e02,Mathias Tollerud,3 days ago,Added BTN-Bankers to transfer.php
0255a58,Mathias Tollerud,3 days ago,Added support for transactions in SATAN
a16b01f,Mathias Tollerud,3 days ago,Some stylechanges
00d6cbf,Mathias Tollerud,3 days ago,Some fixes soooo, here u go
e4545b3,Mathias Tollerud,3 days ago,Fixed scroll problem. FUCK YEA.
